M-STFT,PESQ,MCD,Periodicity,V/UV F1,UTMOS,Audio_ID,Periodicity_RMSE
0.7102251648902893,4.3593621253967285,0.29635498097537377,0.04962911829352379,0.9658536314964294,1.831606149673462,,
0.679117739200592,4.2255024909973145,0.2959538799384901,0.11483312398195267,0.9642857313156128,1.5965615510940552,,
0.7197308540344238,4.4138875007629395,0.34338028937882953,0.06689200550317764,0.971061110496521,1.5768282413482666,,
0.7365100979804993,4.432288646697998,0.26183650580470935,0.04681131988763809,0.9832775592803955,2.319952964782715,,
0.6396005749702454,4.3518171310424805,0.27830934987818917,0.06345989555120468,0.9757575988769531,1.4272270202636719,,
0.6351444125175476,4.436514854431152,0.29280964187137126,0.04023576155304909,0.9871465563774109,1.3360109329223633,,
0.6333704590797424,4.431756019592285,0.30569220300373445,0.02519897371530533,0.99071204662323,1.6437853574752808,,
0.8198382258415222,4.240367412567139,0.3883868449595073,0.07643255591392517,0.9570552110671997,1.5540854930877686,,
0.7167985439300537,4.309851169586182,0.28025379999315764,0.09828894585371017,0.9271417260169983,1.3536961078643799,,
0.7263020873069763,4.382396221160889,0.25277648796484325,0.08056233078241348,0.9640287756919861,1.3449939489364624,,
0.6848377585411072,4.2084879875183105,0.4250596077572603,0.0800270289182663,0.9751772880554199,1.6679341793060303,,
0.7040982246398926,4.277276992797852,0.40156678669291285,0.09629082679748535,0.9463487267494202,1.50704026222229,,
0.7040416598320007,4.312242031097412,0.8739320139951606,0.07789522409439087,0.9600840210914612,1.6693696975708008,,
0.6746346354484558,4.386736869812012,0.8338682459656447,0.08719941228628159,0.9676511883735657,2.293102264404297,,
0.7606363296508789,4.266017436981201,0.30714612026266824,0.056617751717567444,0.9867373704910278,2.675581932067871,,
0.7751765847206116,4.001973628997803,0.24139319788853406,0.07920362800359726,0.9660266041755676,2.68953275680542,,
0.7072929739952087,4.181883335113525,0.2506662804079464,0.15358871221542358,0.8157894611358643,1.4125009775161743,,
0.666283130645752,4.454262733459473,0.23619485328769976,0.11705414950847626,0.9743589162826538,2.2147998809814453,,
0.6839728355407715,4.369016647338867,0.27955042856691736,0.04275953769683838,0.975271999835968,2.0190579891204834,,
0.7234651446342468,4.415445804595947,0.21767485661763386,0.04322376474738121,0.9933774471282959,2.673030376434326,,
0.6857171654701233,4.383710861206055,0.25019973874020174,0.04699942097067833,0.9885057210922241,2.3991291522979736,,
0.71779865026474,4.3105902671813965,0.2311988605633186,0.0590696819126606,0.9774919152259827,2.3854494094848633,,
0.7074066996574402,4.206929683685303,0.22616849967946173,0.06463082134723663,0.9847222566604614,2.4930973052978516,,
0.7376033663749695,4.274402618408203,0.2923073947542828,0.05212493613362312,0.9884443879127502,2.7950799465179443,,
0.7950065732002258,4.283385276794434,0.2939656310881443,0.06365649402141571,0.9800994992256165,2.8465933799743652,,
0.660742461681366,4.428835391998291,0.24177074029479487,0.0675537958741188,0.9868766069412231,2.0638885498046875,,
0.6599873900413513,4.420862197875977,0.24318761674800743,0.03576205298304558,0.9959514141082764,1.6964209079742432,,
0.6747491955757141,4.418551921844482,0.3388787741959926,0.03841886296868324,0.9874638319015503,1.88412344455719,,
0.6866191029548645,4.426971435546875,0.3960008074611683,0.14132604002952576,0.9509091377258301,1.4268996715545654,,
0.6702747344970703,4.278787136077881,0.3548044446139838,0.050673648715019226,0.9848024249076843,1.7712247371673584,,
0.6383712291717529,4.330124378204346,0.3672569670387169,0.07630296051502228,0.9748743772506714,1.6499156951904297,,
0.792328417301178,4.343319416046143,0.2586575781521952,0.07876190543174744,0.973568320274353,3.1323487758636475,,
0.7497761845588684,4.445121765136719,0.2345502190538439,0.06333275884389877,0.9727047085762024,3.205839157104492,,
0.8271450996398926,4.335110187530518,0.23706719844516255,0.04613529518246651,0.9864253401756287,2.7553961277008057,,
0.7401387095451355,4.416534423828125,0.2491304366698701,0.04359139874577522,0.9909035563468933,3.17551326751709,,
0.722160816192627,4.329674243927002,0.2188540802959526,0.06133059039711952,0.9726247787475586,1.6065433025360107,,
0.6842889785766602,4.414449691772461,0.22819729212441414,0.05730026587843895,0.9761905670166016,1.3665306568145752,,
0.64842289686203,4.402944564819336,0.24553611422485336,0.10839816927909851,0.909473717212677,1.5148731470108032,,
0.6981061100959778,4.444267272949219,0.48892132179347864,0.0418001189827919,0.9618320465087891,1.9179693460464478,,
0.7541490197181702,4.4267449378967285,0.2884354842720981,0.1145264133810997,0.9295774698257446,1.53551185131073,,
0.7315232157707214,4.474346160888672,0.31762674079834546,0.07616884261369705,0.9846153855323792,1.3932890892028809,,
0.7453160285949707,4.424933910369873,0.288865174604544,0.11050749570131302,0.9539474248886108,1.8088903427124023,,
0.7833635210990906,4.390095233917236,0.2663114583745332,0.14815518260002136,0.9074074029922485,1.4260661602020264,,
